,filename,caption,caption_old,caption_new
44,amazonfurniture_page2_2.png,zinus josh traditional upholstered sofa living room couch beige weave,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave",upholstered sofa living room couch beige weave
45,amazonfurniture_page2_3.png,walsunny modern faux leather couch convertible sofa bed with armrest and fold up and down recliner couch with cup holders  white,"Walsunny Modern Faux Leather Couch, Convertible Sofa Bed with Armrest & Fold Up & Down Recliner Couch with Cup Holders - White",walsunny modern faux leather couch convertible sofa bed with armrest and fold up and down recliner couch with cup holders  white
46,amazonfurniture_page2_4.png,poundex  upholstered sofas sectionals armchairs grey,"Poundex PDEX-F7606 Upholstered Sofas/Sectionals/Armchairs, Grey",sectionals armchairs grey
47,amazonfurniture_page2_5.png,ashley furniture signature design  larkinhurst sofa  contemporary style couch  earth,Ashley Furniture Signature Design - Larkinhurst Sofa - Contemporary Style Couch - Earth,design larkinhurst sofa contemporary style couch earth
48,amazonfurniture_page2_6.png,casa andrea milano linen fabric sofa couch modern mid century lounge sofa upholstery fabric lounger for living room furniture club style upholstered sofa with detachable foam cushions light grey,"Casa Andrea Milano Linen Fabric Sofa Couch | Modern Mid-Century Lounge Sofa, Upholstery Fabric Lounger for Living Room Furniture, Club Style Upholstered Sofa with Detachable Foam Cushions, Light Grey",linen fabric sofa couch modern mid century lounge sofa upholstery fabric lounger for living room furniture club style upholstered sofa with detachable foam cushions light grey
49,amazonfurniture_page2_7.png,adjustable floor couch and sofa for living room and bedroom foldable five reclining position with two pillows love seat blue,"Adjustable Floor Couch and Sofa for Living Room and Bedroom, Foldable 5 Reclining Position with 2 Pillows, Love seat, Blue",and sofa for living room and bedroom foldable five reclining position with two pillows love seat blue
50,amazonfurniture_page2_8.png,aodailihb modern soft cloth tufted cushion loveseat sofa small space configurable couch dark grey,AODAILIHB Modern Soft Cloth Tufted Cushion Loveseat Sofa Small Space Configurable Couch (Dark Grey),aodailihb modern soft cloth tufted cushion loveseat sofa small space configurable couch dark grey
51,amazonfurniture_page2_9.png,classic brands  memory foam replacement mattress for sleeper sofa bed queen,"Classic Brands 4.5-Inch Memory Foam Replacement Mattress for Sleeper Sofa Bed, Queen",foam replacement mattress for sleeper sofa bed queen
52,amazonfurniture_page2_10.png,divano roma furniture bonded leather double recliner sofa living room reclining couch brown,DIVANO ROMA FURNITURE Bonded Leather Double Recliner Sofa Living Room Reclining Couch (Brown),leather double recliner sofa living room reclining couch brown
53,amazonfurniture_page2_11.png,mid century modern extra large velvet sofa living room couch grey,"Mid Century Modern Extra Large Velvet Sofa, Living Room Couch (Grey)",modern extra large velvet sofa living room couch grey
54,amazonfurniture_page2_12.png,us pride furniture  sofa white,US Pride Furniture S5454-S Sofa White,white
55,amazonfurniture_page2_13.png,ashley furniture signature design  jarreau contemporary upholstered sofa chaise sleeper  gray,Ashley Furniture Signature Design - Jarreau Contemporary Upholstered Sofa Chaise Sleeper - Gray,design jarreau contemporary upholstered sofa chaise sleeper gray
56,amazonfurniture_page2_14.png,ashley furniture signature design  gregale contemporary upholstered sofa  coffee brown,Ashley Furniture Signature Design - Gregale Contemporary Upholstered Sofa - Coffee Brown,design gregale contemporary upholstered sofa coffee brown
57,amazonfurniture_page2_15.png,rivet sloane mid century modern sofa with tufted back  shell,"Rivet Sloane Mid-Century Modern Sofa with Tufted Back, 79.9""W, Shell",century modern sofa with tufted back shell
58,amazonfurniture_page2_16.png,stone and beam carrigan modern sofa couch with slipcover  natural,"Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Natural",modern sofa couch with slipcover natural
59,amazonfurniture_page2_17.png,great deal furniture  viviana three seater sofa with wood legs gray and natural finish,"Great Deal Furniture 309141 Viviana Three Seater Sofa with Wood Legs, Gray and Natural Finish",three seater sofa with wood legs gray and natural finish
60,amazonfurniture_page2_18.png,modern bonded leather sectional sofa  small space configurable couch  black,Modern Bonded Leather Sectional Sofa - Small Space Configurable Couch - Black,sectional sofa small space configurable couch black
61,amazonfurniture_page2_19.png,coaster home furnishings weissman pillow padded motion sofa charcoal,Coaster Home Furnishings Weissman Pillow Padded Motion Sofa Charcoal,pillow padded motion sofa charcoal
62,amazonfurniture_page2_20.png,ashley furniture signature design  alenya sofa with two throw pillows  microfiber upholstery  vintage casual  charcoal,Ashley Furniture Signature Design - Alenya Sofa with 2 Throw Pillows - Microfiber Upholstery - Vintage Casual - Charcoal,design alenya sofa with two throw pillows microfiber upholstery vintage casual charcoal
63,amazonfurniture_page2_21.png,albany park  midcentury modern velvet sofa green,"ALBANY PARK ALBANY3S Midcentury Modern Velvet Sofa, Green",midcentury modern velvet sofa green
64,amazonfurniture_page2_22.png,mid century tufted velvet sofa living room couch with tufted buttons red,"Mid-Century Tufted Velvet Sofa, Living Room Couch with Tufted Buttons (Red)",tufted velvet sofa living room couch with tufted buttons red
65,amazonfurniture_page2_23.png,vita chesterfield tufted jewel toned velvet sofa with scroll arms navy blue,"Vita Chesterfield Tufted Jewel Toned Velvet Sofa with Scroll Arms, Navy Blue",tufted jewel toned velvet sofa with scroll arms navy blue
66,amazonfurniture_page2_24.png,dhp  felix chesterfield sofa futon grey velvet,"DHP 2260479 Felix Chesterfield Sofa Futon, Grey Velvet",chesterfield sofa futon grey velvet
67,amazonfurniture_page2_25.png,serta rta copenhagen collection  sofa marzipan,"Serta RTA Copenhagen Collection 78"" Sofa in Marzipan",collection sofa marzipan
68,amazonfurniture_page2_26.png,futon sleeper sofa bed couch convertible futon sofa sectional with chaise sofa to bed feature modern l shaped lounger sectional sofa and fully reclining chaise dark grey,"Futon Sleeper Sofa Bed-Couch Convertible Futon Sofa Sectional with Chaise, (Sofa to Bed Feature) Modern L-Shaped Lounger Sectional Sofa & Fully Reclining Chaise, Dark Grey",bed couch convertible futon sofa sectional with chaise sofa to bed feature modern l shaped lounger sectional sofa and fully reclining chaise dark grey
69,amazonfurniture_page2_27.png,glory furniture delray  sofa  living room furniture x  d,"Glory Furniture Delray G790A-S Sofa, Gray. Living Room Furniture, 32"" H x 87"" W x 34"" D,",sofa living room furniture x d
70,amazonfurniture_page2_28.png,zinus sayan traditional upholstered sofa couch loveseat sand grey,"Zinus Sayan Traditional Upholstered 78.7 Inch Sofa Couch / Loveseat, Sand Grey",traditional upholstered sofa couch loveseat sand grey
71,amazonfurniture_page2_29.png,yaheetech futon sofa bed convertible sofa couch with armrest home recliner couch home furniture black,"Yaheetech Futon Sofa Bed, Convertible Sofa Couch with Armrest Home Recliner Couch Home Furniture Black",sofa bed convertible sofa couch with armrest home recliner couch home furniture black
72,amazonfurniture_page2_30.png,rivet revolve modern upholstered sofa with tapered legs  denim,"Rivet Revolve Modern Upholstered Sofa with Tapered Legs, 79.9""W, Denim",upholstered sofa with tapered legs denim
73,amazonfurniture_page2_31.png,rivet north end exposed wood modern sofa  grey weave,"Rivet North End Exposed Wood Modern Sofa, 78""W, Grey Weave",exposed wood modern sofa grey weave
74,amazonfurniture_page2_32.png,stone and beam dalton sectional sofa couch  stone,"Stone & Beam Dalton Sectional Sofa Couch, 91.5""W, Stone",sectional sofa couch stone
75,amazonfurniture_page3_0.png,rivet cove mid century modern tufted sofa with tapered legs  dark grey,"Rivet Cove Mid-Century Modern Tufted Sofa with Tapered Legs, 72""W, Dark Grey",century modern tufted sofa with tapered legs dark grey
76,amazonfurniture_page3_1.png,great deal furniture  athena mid century waffle stitch tufted accent sofa with rubberwood legs black and walnut finish,Great Deal Furniture 309009 Athena Mid Century Waffle Stitch Tufted Accent Sofa with Rubberwood Legs-Black and Walnut Finish,mid century waffle stitch tufted accent sofa with rubberwood legs black and walnut finish
77,amazonfurniture_page3_2.png,stone and beam carrigan modern sofa couch with slipcover  natural,"Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Natural",modern sofa couch with slipcover natural
78,amazonfurniture_page3_3.png,yaheetech futon sofa bed modern faux leather couch convertible sofa bed with armrest fold up and down recliner couch with cup holders  black,"Yaheetech Futon Sofa Bed, Modern Faux Leather Couch, Convertible Sofa Bed with Armrest, Fold Up and Down Recliner Couch with Cup Holders - Black",sofa bed modern faux leather couch convertible sofa bed with armrest fold up and down recliner couch with cup holders black
79,amazonfurniture_page3_4.png,lilola lucca light gray linen reversible sleeper sectional,LILOLA Lucca Light Gray Linen Reversible Sleeper Sectional,light gray linen reversible sleeper sectional
80,amazonfurniture_page3_5.png,modway revive contemporary modern fabric upholstered sofa in white,Modway Revive Contemporary Modern Fabric Upholstered Sofa In White,contemporary modern fabric upholstered sofa in white
81,amazonfurniture_page3_6.png,ashley furniture signature design  bladen contemporary plush upholstered sleeper sofa  full size mattress included  coffee brown,Ashley Furniture Signature Design - Bladen Contemporary Plush Upholstered Sleeper Sofa - Full Size Mattress Included - Coffee Brown,design bladen contemporary plush upholstered sleeper sofa full size mattress included coffee brown
82,amazonfurniture_page3_7.png,aidan mid century modern tufted fabric sofa navy blue and dark walnut,"Aidan Mid-Century Modern Tufted Fabric Sofa, Navy Blue and Dark Walnut",aidan mid century modern tufted fabric sofa navy blue and dark walnut
83,amazonfurniture_page3_8.png,classic ultra comfortable brush microfiber fabric living room sofa dark grey,Classic Ultra Comfortable Brush Microfiber Fabric Living Room Sofa (Dark Grey),comfortable brush microfiber fabric living room sofa dark grey
84,amazonfurniture_page3_9.png,case andrea milanotm bonded leather double recliner sofa,Case Andrea MilanoTM Bonded Leather Double Recliner Sofa,milanotm bonded leather double recliner sofa
85,amazonfurniture_page3_10.png,homelegance rubin  bonded leather sofa dark brown,"Homelegance Rubin 85"" Bonded Leather Sofa, Dark Brown",bonded leather sofa dark brown
86,amazonfurniture_page3_11.png,modway activate contemporary modern fabric upholstered apartment sofa couch in white,Modway Activate Contemporary Modern Fabric Upholstered Apartment Sofa Couch In White,contemporary modern fabric upholstered apartment sofa couch in white
87,amazonfurniture_page3_12.png,modern living room brush microfiber sofa rust,Modern Living Room Brush Microfiber Sofa (Rust),brush microfiber sofa rust
88,amazonfurniture_page3_13.png,classic brush microfiber sofa small space loveseat couch camel,"Classic Brush Microfiber Sofa, Small Space Loveseat Couch (Camel)",microfiber sofa small space loveseat couch camel
89,amazonfurniture_page3_14.png,modern sofa bed sleeper faux leather convertible sofa set couch bed sleeper chaise lounge furniture vanilla white,Modern Sofa Bed Sleeper Faux Leather Convertible Sofa Set Couch Bed Sleeper Chaise Lounge Furniture Vanilla White,sleeper faux leather convertible sofa set couch bed sleeper chaise lounge furniture vanilla white
90,amazonfurniture_page3_15.png,stone and beam dalton sectional sofa couch  stone,"Stone & Beam Dalton Sectional Sofa Couch, 91.5""W, Stone",sectional sofa couch stone
91,amazonfurniture_page3_16.png,zinus josh traditional upholstered sofa living room couch beige weave,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave",upholstered sofa living room couch beige weave
92,amazonfurniture_page3_17.png,rivet sloane mid century modern sofa with tufted back  shell,"Rivet Sloane Mid-Century Modern Sofa with Tufted Back, 79.9""W, Shell",century modern sofa with tufted back shell
93,amazonfurniture_page3_18.png,baxton furniture studios mid century modern scandinavian style faux three seater leather wooden sofa dark brown,"Baxton Furniture Studios Mid-Century Modern Scandinavian Style Faux 3 Seater Leather Wooden Sofa, Dark Brown",studios mid century modern scandinavian style faux three seater leather wooden sofa dark brown
94,amazonfurniture_page3_19.png,maxdivani ten portable travel sofa guest bed fire resistant cover tri folding memory foam mattress twin blue,"MAXDIVANI 10 Inch Portable Travel Sofa / Guest Bed Fire Resistant Cover Tri-Folding Memory Foam Mattress (Twin, Blue)",maxdivani ten portable travel sofa guest bed fire resistant cover tri folding memory foam mattress twin blue
95,amazonfurniture_page3_20.png,truly home  gaines sofa gray,"Truly Home UPH10131D Gaines Sofa, Gray",gaines sofa gray
96,amazonfurniture_page3_21.png,blue upholstered linen sectional sofa couch modern l shape sectional sectional sofas and couches sofa couch with chaise for small large living spaces family living room home furniture sectionals,"Blue Upholstered Linen Sectional Sofa Couch| Modern L-Shape Sectional, Sectional Sofas and Couches, Sofa Couch with Chaise, for Small/Large Living Spaces, Family Living Room Home Furniture Sectionals",linen sectional sofa couch modern l shape sectional sectional sofas and couches sofa couch with chaise for small large living spaces family living room home furniture sectionals
97,amazonfurniture_page3_22.png,best choice products  linen fabric upholstered contemporary sofa couch lounger dark gray,"Best Choice Products 76in Linen Fabric Upholstered Contemporary Sofa Couch Lounger, Dark Gray",fabric upholstered contemporary sofa couch lounger dark gray
98,amazonfurniture_page3_23.png,us pride furniture  obadiah sofa grey,"US Pride Furniture S5420-S Obadiah Sofa, Grey",sofa grey
99,amazonfurniture_page3_24.png,bestmassage corner sofas sets for living room leather sectional corner sofa with functional armrest and support,"BestMassage Corner Sofas Sets for Living Room, Leather Sectional Corner Sofa with Functional Armrest and Support",sofas sets for living room leather sectional corner sofa with functional armrest and support
100,amazonfurniture_page3_25.png,homelegance resonance  bonded leather double reclining sofa black,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Black",leather double reclining sofa black
101,amazonfurniture_page3_26.png,serta rta palisades collection  bonded leather sofa chestnut brown,"Serta RTA Palisades Collection 78"" Bonded Leather Sofa in Chestnut Brown",collection bonded leather sofa chestnut brown
102,amazonfurniture_page3_27.png,zinus juan mid century armless sofa living room couch turquoise,"Zinus Juan Mid-Century 65 Inch Armless  Sofa / Living Room Couch, Turquoise",century armless sofa living room couch turquoise
103,amazonfurniture_page3_28.png,signature design by ashley  betrillo sofa salsa,"Signature Design by Ashley 4050438 Betrillo Sofa, Salsa",ashley betrillo sofa salsa
104,amazonfurniture_page3_29.png,giantex upholstered loveseat sofa couch linen fabric contemporary living room modern overstuffed classically styled couch loveseat withremovable cushions roll arms coffee,"Giantex Upholstered Loveseat Sofa Couch Linen Fabric Contemporary Living Room Modern Overstuffed Classically Styled Couch Loveseat w/Removable Cushions, Roll Arms (Coffee)",loveseat sofa couch linen fabric contemporary living room modern overstuffed classically styled couch loveseat withremovable cushions roll arms coffee
105,amazonfurniture_page3_30.png,rivet sloane mid century modern sofa with tufted back  pebble,"Rivet Sloane Mid-Century Modern Sofa with Tufted Back, 79.9""W, Pebble",century modern sofa with tufted back pebble
106,amazonfurniture_page3_31.png,rivet revolve modern upholstered sofa with tapered legs  denim,"Rivet Revolve Modern Upholstered Sofa with Tapered Legs, 79.9""W, Denim",upholstered sofa with tapered legs denim
107,amazonfurniture_page3_32.png,rivet north end exposed wood modern sofa  grey weave,"Rivet North End Exposed Wood Modern Sofa, 78""W, Grey Weave",exposed wood modern sofa grey weave
108,amazonfurniture_page4_0.png,rivet cove mid century modern tufted sofa with tapered legs  dark grey,"Rivet Cove Mid-Century Modern Tufted Sofa with Tapered Legs, 72""W, Dark Grey",century modern tufted sofa with tapered legs dark grey
109,amazonfurniture_page4_1.png,stone and beam carrigan modern sofa couch with slipcover  natural,"Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Natural",modern sofa couch with slipcover natural
110,amazonfurniture_page4_2.png,fdw recliner sofa set sectional sofa for living room furniture pu leather sofa and couch manual reclining sofa recliner chair love seat and sofa  ,"FDW Recliner Sofa Set Sectional Sofa for living room Furniture PU Leather Sofa and Couch  Manual Reclining Sofa Recliner Chair, Love Seat, and Sofa (3seat)  Home，Black.",set sectional sofa for living room furniture pu leather sofa and couch manual reclining sofa recliner chair love seat and sofa
111,amazonfurniture_page4_3.png,mecor loveseat sofa linen fabric loveseat couch sofa with scroll arm classic modern living room furniture beige,Mecor Loveseat Sofa Linen Fabric Loveseat Couch 70 Inch Sofa with Scroll Arm Classic Modern Living Room Furniture (Beige),sofa linen fabric loveseat couch sofa with scroll arm classic modern living room furniture beige
112,amazonfurniture_page4_4.png,rivet damien mid century modern channel backed loveseat sofa  leather cognac,"Rivet Damien Mid-Century Modern Channel-Backed Loveseat Sofa, 75""W, Leather, Cognac",century modern channel backed loveseat sofa leather cognac
113,amazonfurniture_page4_5.png,zinus jocelyn contemporary armless sofa couch loveseat beige,"Zinus Jocelyn Contemporary 51 Inch Armless Sofa Couch / Loveseat, Beige",contemporary armless sofa couch loveseat beige
114,amazonfurniture_page4_6.png,christopher knight home  aidan mid century modern tufted fabric sofa blue,"Christopher Knight Home 305141 Aidan Mid Century Modern Tufted Fabric Sofa, Blue",mid century modern tufted fabric sofa blue
115,amazonfurniture_page4_7.png,christopher knight home  karen traditional chesterfield loveseat sofa navy blue and dark brown,"Christopher Knight Home 306027 Karen Traditional Chesterfield Loveseat Sofa, Navy Blue and Dark Brown",traditional chesterfield loveseat sofa navy blue and dark brown
116,amazonfurniture_page4_8.png,homelegance marceau tuxedo style sofa with flared arm and double nailhead accent button tufted with two toss pillows gray,"Homelegance Marceau Tuxedo Style Sofa with Flared Arm and Double Nailhead Accent, Button Tufted with Two Toss Pillows, Gray",tuxedo style sofa with flared arm and double nailhead accent button tufted with two toss pillows gray
117,amazonfurniture_page4_9.png, sofa for living room gray upholstered soft and easily assemble couch and sofa loveseat by lifefair,"70 Inch Sofa for Living Room,Gray Upholstered Soft and Easily Assemble Couch and Sofa Loveseat,by LifeFair",room gray upholstered soft and easily assemble couch and sofa loveseat by lifefair
118,amazonfurniture_page4_10.png,navy blue modular sectional sofa couch convertible sofa sectional reversible chaise ottoman three piece custom couch feature modern l shaped sectional sofa from  loveseat to chaise ottoman sofa,Navy Blue Modular Sectional Sofa Couch Convertible Sofa Sectional Reversible Chaise Ottoman 3 Piece (Custom Couch Feature) Modern L-Shaped Sectional Sofa from 2Pc Loveseat to Chaise Ottoman Sofa,modular sectional sofa couch convertible sofa sectional reversible chaise ottoman three piece custom couch feature modern l shaped sectional sofa from loveseat to chaise ottoman sofa
119,amazonfurniture_page4_11.png,signature design by ashley  the the tulen reclining sofa gray,"Signature Design by Ashley 9860688 The The Tulen Reclining Sofa, Gray",ashley the the tulen reclining sofa gray
